,artist,master_genre
706,Michael Bolton,Rock music
707,Real McCoy,Hip hop
708,Mr. President,Hip hop
709,Aqua,Pop music
710,Cranberries,Rock music
711,DJ Kool,Hip hop
712,Tony Rich Project,Gospel music
713,Tracy Chapman,Pop music
714,Quad City Dj’s,Hip hop
715,Everything But The Girl,Electronic music
716,Gin Blossoms,Rock music
717,Jann Arden,Pop music
718,La Bouche,Hip hop
719,Dishwalla,Alternative rock
720,Joan Osborne,Pop music
721,Natalie Merchant,Pop music
722,Deep Blue Something,Pop music
723,Collective Soul,Rock music
724,3t,Gospel music
725,The Smashing Pumpkins,Rock music
726,Hootie and The Blowfish,Rock music
727,Color Me Badd,Gospel music
728,Oasis,Rock music
729,Groove Theory,Gospel music
730,Blues Traveler,Rock music
731,George Michael,Pop music
732,Kris Kross,Hip hop
733,Robert Miles,Pop music
734,Bodeans,Rock music
735,D’angelo,Jazz
736,John Mellencamp,Rock music
737,Sophie B. Hawkins,Pop music
738,Melissa Etheridge,Pop music
739,Amber,Pop music
740,Planet Soul,Hip hop
741,Junior M.A.F.I.A.,Hip hop
742,Maxi Priest,Reggae
743,Do Or Die,Hip hop
744,Metallica,Heavy metal
745,Crucial Conflict,Hip hop
746,Take That,Pop music
747,Los Del Rio,Hip hop
748,Adina Howard,Gospel music
749,All-4-One,Pop music
750,Bryan Adams,Rock music
751,Nicki French,Hip hop
752,Des’ree,Pop music
753,Ini Kamoze,Reggae
754,Soul For Real,Gospel music
755,Blessid Union Of Souls,Alternative rock
756,Vanessa Williams,Gospel music
757,Brownstone,Gospel music
758,Martin Page,Pop music
759,Luniz,Hip hop
760,Mokenstef,Country music
761,Method Man-Mary J. Blige,Hip hop
762,4 P.M.,Blues music
763,Corona,Hip hop
764,Del Amitri,Rock music
765,Jodeci,Gospel music
766,Skee-lo,Hip hop
767,Tom Petty,Rock music
768,69 Boyz,Hip hop
769,Janet Jackson,Pop music
770,Subway,Blues music
771,Jade,Gospel music
772,20 Fingers,Hip hop
773,Annie Lennox,Pop music
774,Immature,Gospel music
775,Crystal Waters,Hip hop
776,Az,Hip hop
777,Better Than Ezra,Rock music
778,Gloria Estefan,Pop music
779,After 7,Gospel music
780,Firehouse,Rock music
781,Stevie B,Hip hop
782,Rednex,Hip hop
783,Pretenders,Rock music
784,Soul Asylum,Rock music
785,Van Halen,Rock music
786,Salt-N-Pepa,Hip hop
787,Warren G and Nate Dogg,Hip hop
788,Jon Secada,Pop music
789,Richard Marx,Rock music
790,Enigma,Electronic music
791,Crash Test Dummies,Pop music
792,Tevin Campbell,Jazz
793,Meat Loaf,Rock music
794,"10,000 Maniacs",Pop music
795,US3,Jazz
796,Tag Team,Hip hop
797,Beck,Alternative rock
798,Snoop Doggy Dogg,Hip hop
799,Domino,Rock music
800,Aaron Hall,Jazz
801,Jimmy Cliff,Reggae
802,Erasure,Pop music
803,Zhane,Gospel music
804,Gabrielle,Alternative rock
805,Culture Beat,Hip hop
806,Tom Petty and The Heartbreakers,Rock music
807,Joshua Kadison,Rock music
808,Eternal,Pop music
809,Craig Mack,Hip hop
810,Queen Latifah,Hip hop
811,Phil Collins,Rock music
812,Heavy D and The Boyz,Hip hop
813,Four Seasons,Pop music
814,Bonnie Raitt,Rock music
815,General Public,Electronic music
816,Haddaway,Hip hop
817,Ice Cube,Hip hop
818,UB40,Rock music
819,Shai,Gospel music
820,Wreckx-N-Effect,Hip hop
821,Snow,Hip hop
822,H-Town,Pop music
823,Duice,Hip hop
824,Robin S.,House music
825,Peabo Bryson and Regina Belle,Alternative rock
826,Vanessa Willlams and Brian Mcknight,Pop music
827,Expose,Jazz
828,Paperboy,Hip hop
829,Snap,Hip hop
830,Billy Joel,Rock music
831,Proclaimers,Rock music
832,Spin Doctors,Rock music
833,Arrested Development,Hip hop
834,Rod Stewart,Rock music
835,Shanice,Gospel music
836,Duran Duran,Rock music
837,Tony! Toni! Tone!,Jazz
838,Onyx,Hip hop
839,P.M. Dawn,Gospel music
